# Las tres formas de pagar el programa de empleo y vivienda,
# cuantificadas por separado. NO se elige ninguna.
opcion,anio,aporte,costo_del_programa,cubre_pct,efecto_en_resultado_financiero,detalle,supuesto
i_reasignacion,2026,1806298514.89,1806298514.89,100.00,0.00,"sale del gasto flexible del ejercicio, que en 2025 fue 87325600155.82 (26.93% del gasto). El programa en regimen se lleva el 8.27% de ese margen",el gasto total no cambia; cambia su composicion
i_reasignacion,2027,3612597029.79,3612597029.79,100.00,0.00,"sale del gasto flexible del ejercicio, que en 2025 fue 87325600155.82 (26.93% del gasto). El programa en regimen se lleva el 8.27% de ese margen",el gasto total no cambia; cambia su composicion
i_reasignacion,2028,5418895544.68,5418895544.68,100.00,0.00,"sale del gasto flexible del ejercicio, que en 2025 fue 87325600155.82 (26.93% del gasto). El programa en regimen se lleva el 8.27% de ese margen",el gasto total no cambia; cambia su composicion
i_reasignacion,2029,7225194059.57,7225194059.57,100.00,0.00,"sale del gasto flexible del ejercicio, que en 2025 fue 87325600155.82 (26.93% del gasto). El programa en regimen se lleva el 8.27% de ese margen",el gasto total no cambia; cambia su composicion
i_reasignacion,2030,7225194059.57,7225194059.57,100.00,0.00,"sale del gasto flexible del ejercicio, que en 2025 fue 87325600155.82 (26.93% del gasto). El programa en regimen se lleva el 8.27% de ese margen",el gasto total no cambia; cambia su composicion
i_reasignacion,2031,7225194059.57,7225194059.57,100.00,0.00,"sale del gasto flexible del ejercicio, que en 2025 fue 87325600155.82 (26.93% del gasto). El programa en regimen se lleva el 8.27% de ese margen",el gasto total no cambia; cambia su composicion
i_reasignacion,2032,7225194059.57,7225194059.57,100.00,0.00,"sale del gasto flexible del ejercicio, que en 2025 fue 87325600155.82 (26.93% del gasto). El programa en regimen se lleva el 8.27% de ese margen",el gasto total no cambia; cambia su composicion
i_reasignacion,2033,7225194059.57,7225194059.57,100.00,0.00,"sale del gasto flexible del ejercicio, que en 2025 fue 87325600155.82 (26.93% del gasto). El programa en regimen se lleva el 8.27% de ese margen",el gasto total no cambia; cambia su composicion
i_reasignacion,2034,7225194059.57,7225194059.57,100.00,0.00,"sale del gasto flexible del ejercicio, que en 2025 fue 87325600155.82 (26.93% del gasto). El programa en regimen se lleva el 8.27% de ese margen",el gasto total no cambia; cambia su composicion
i_reasignacion,2035,7225194059.57,7225194059.57,100.00,0.00,"sale del gasto flexible del ejercicio, que en 2025 fue 87325600155.82 (26.93% del gasto). El programa en regimen se lleva el 8.27% de ese margen",el gasto total no cambia; cambia su composicion
