# Sensibilidad del resultado financiero. Pesos constantes de
# diciembre de 2025. Cada dimension se mueve sola, con las
# otras dos en su valor del escenario base.
dimension,variante,anio,hito,resultado_financiero,ingresos_totales,gastos_totales,ahorro_corriente
recursos_propios,0.95% anual,2031,fin del mandato,-2945933968.57,306289896011.98,309235829980.55,52856203081.47
recursos_propios,0.95% anual,2037,a diez anios,1979782864.52,311215612845.07,309235829980.55,57781919914.56
recursos_propios,1.95% anual,2031,fin del mandato,10374785191.31,319610615171.86,309235829980.55,66176922241.35
recursos_propios,1.95% anual,2037,a diez anios,31035271890.35,340271101870.90,309235829980.55,86837408940.39
recursos_propios,2.95% anual,2031,fin del mandato,24365069683.70,333600899664.25,309235829980.55,80167206733.74
recursos_propios,2.95% anual,2037,a diez anios,63400856672.94,372636686653.49,309235829980.55,119202993722.98
coparticipacion,-1.5% anual,2031,fin del mandato,13105355893.54,322341185874.09,309235829980.55,68907492943.58
coparticipacion,-1.5% anual,2037,a diez anios,35919098386.93,345154928367.48,309235829980.55,91721235436.97
coparticipacion,-2.5% anual,2031,fin del mandato,9212231485.50,318448061466.05,309235829980.55,65014368535.54
coparticipacion,-2.5% anual,2037,a diez anios,29019015957.09,338254845937.64,309235829980.55,84821153007.13
coparticipacion,-3.5% anual,2031,fin del mandato,5513716727.55,314749546708.10,309235829980.55,61315853777.59
coparticipacion,-3.5% anual,2037,a diez anios,22855041684.07,332090871664.62,309235829980.55,78657178734.11
percepcion,86.32%,2031,fin del mandato,-305423506.53,308930406474.02,309235829980.55,55496713543.51
percepcion,86.32%,2037,a diez anios,19660252586.19,328896082566.74,309235829980.55,75462389636.23
percepcion,89.32%,2031,fin del mandato,10360713159.71,319596543140.26,309235829980.55,66162850209.75
percepcion,89.32%,2037,a diez anios,31020284390.05,340256114370.60,309235829980.55,86822421440.09
percepcion,92.32%,2031,fin del mandato,21026849825.96,330262679806.51,309235829980.55,76828986876.00
percepcion,92.32%,2037,a diez anios,42380316193.90,351616146174.45,309235829980.55,98182453243.94
